id,num,name,type1,type2,hp,atk,def,spa,spd,spe,ability_primary,ability_secondary,ability_hidden,height_m,weight_kg,color,egg_groups,gender_ratio_m,gender_ratio_f,forme,base_species
mukalola,89,Muk-Alola,Poison,Dark,105,105,75,65,100,50,Poison Touch,Gluttony,Power of Alchemy,1,52,Green,Amorphous,,,Alola,Muk
shellder,90,Shellder,Water,,30,65,100,45,25,40,Shell Armor,Skill Link,Overcoat,0.3,4,Purple,Water 3,,,,
cloyster,91,Cloyster,Water,Ice,50,95,180,85,45,70,Shell Armor,Skill Link,Overcoat,1.5,132.5,Purple,Water 3,,,,
gastly,92,Gastly,Ghost,Poison,30,35,30,100,35,80,Levitate,,,1.3,0.1,Purple,Amorphous,,,,
haunter,93,Haunter,Ghost,Poison,45,50,45,115,55,95,Levitate,,,1.6,0.1,Purple,Amorphous,,,,
gengar,94,Gengar,Ghost,Poison,60,65,60,130,75,110,Cursed Body,,,1.5,40.5,Purple,Amorphous,,,,
gengarmega,94,Gengar-Mega,Ghost,Poison,60,65,80,170,95,130,Shadow Tag,,,1.4,40.5,Purple,Amorphous,,,Mega,Gengar
gengargmax,94,Gengar-Gmax,Ghost,Poison,60,65,60,130,75,110,Cursed Body,,,20,0,Purple,Amorphous,,,Gmax,Gengar
onix,95,Onix,Rock,Ground,35,45,160,30,45,70,Rock Head,Sturdy,Weak Armor,8.8,210,Gray,Mineral,,,,
drowzee,96,Drowzee,Psychic,,60,48,45,43,90,42,Insomnia,Forewarn,Inner Focus,1,32.4,Yellow,Human-Like,,,,
hypno,97,Hypno,Psychic,,85,73,70,73,115,67,Insomnia,Forewarn,Inner Focus,1.6,75.6,Yellow,Human-Like,,,,
krabby,98,Krabby,Water,,30,105,90,25,25,50,Hyper Cutter,Shell Armor,Sheer Force,0.4,6.5,Red,Water 3,,,,
kingler,99,Kingler,Water,,55,130,115,50,50,75,Hyper Cutter,Shell Armor,Sheer Force,1.3,60,Red,Water 3,,,,
kinglergmax,99,Kingler-Gmax,Water,,55,130,115,50,50,75,Hyper Cutter,Shell Armor,Sheer Force,19,0,Red,Water 3,,,Gmax,Kingler
voltorb,100,Voltorb,Electric,,40,30,50,55,55,100,Soundproof,Static,Aftermath,0.5,10.4,Red,Mineral,,,,
voltorbhisui,100,Voltorb-Hisui,Electric,Grass,40,30,50,55,55,100,Soundproof,Static,Aftermath,0.5,13,Red,Mineral,,,Hisui,Voltorb
electrode,101,Electrode,Electric,,60,50,70,80,80,150,Soundproof,Static,Aftermath,1.2,66.6,Red,Mineral,,,,
electrodehisui,101,Electrode-Hisui,Electric,Grass,60,50,70,80,80,150,Soundproof,Static,Aftermath,1.2,71,Red,Mineral,,,Hisui,Electrode
exeggcute,102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,Chlorophyll,,Harvest,0.4,2.5,Pink,Grass,,,,
exeggutor,103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,Chlorophyll,,Harvest,2,120,Yellow,Grass,,,,
exeggutoralola,103,Exeggutor-Alola,Grass,Dragon,95,105,85,125,75,45,Frisk,,Harvest,10.9,415.6,Yellow,Grass,,,Alola,Exeggutor
cubone,104,Cubone,Ground,,50,50,95,40,50,35,Rock Head,Lightning Rod,Battle Armor,0.4,6.5,Brown,Monster,,,,
marowak,105,Marowak,Ground,,60,80,110,50,80,45,Rock Head,Lightning Rod,Battle Armor,1,45,Brown,Monster,,,,
marowakalola,105,Marowak-Alola,Fire,Ghost,60,80,110,50,80,45,Cursed Body,Lightning Rod,Rock Head,1,34,Purple,Monster,,,Alola,Marowak
marowakalolatotem,105,Marowak-Alola-Totem,Fire,Ghost,60,80,110,50,80,45,Rock Head,,,1.7,98,Purple,Monster,,,Alola-Totem,Marowak
hitmonlee,106,Hitmonlee,Fighting,,50,120,53,35,110,87,Limber,Reckless,Unburden,1.5,49.8,Brown,Human-Like,,,,
hitmonchan,107,Hitmonchan,Fighting,,50,105,79,35,110,76,Keen Eye,Iron Fist,Inner Focus,1.4,50.2,Brown,Human-Like,,,,
lickitung,108,Lickitung,Normal,,90,55,75,60,75,30,Own Tempo,Oblivious,Cloud Nine,1.2,65.5,Pink,Monster,,,,
koffing,109,Koffing,Poison,,40,65,95,60,45,35,Levitate,Neutralizing Gas,Stench,0.6,1,Purple,Amorphous,,,,
weezing,110,Weezing,Poison,,65,90,120,85,70,60,Levitate,Neutralizing Gas,Stench,1.2,9.5,Purple,Amorphous,,,,
weezinggalar,110,Weezing-Galar,Poison,Fairy,65,90,120,85,70,60,Levitate,Neutralizing Gas,Misty Surge,3,16,Gray,Amorphous,,,Galar,Weezing
rhyhorn,111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,Lightning Rod,Rock Head,Reckless,1,115,Gray,Monster; Field,,,,
rhydon,112,Rhydon,Ground,Rock,105,130,120,45,45,40,Lightning Rod,Rock Head,Reckless,1.9,120,Gray,Monster; Field,,,,
chansey,113,Chansey,Normal,,250,5,5,35,105,50,Natural Cure,Serene Grace,Healer,1.1,34.6,Pink,Fairy,,,,
tangela,114,Tangela,Grass,,65,55,115,100,40,60,Chlorophyll,Leaf Guard,Regenerator,1,35,Blue,Grass,,,,
kangaskhan,115,Kangaskhan,Normal,,105,95,80,40,80,90,Early Bird,Scrappy,Inner Focus,2.2,80,Brown,Monster,,,,
kangaskhanmega,115,Kangaskhan-Mega,Normal,,105,125,100,60,100,100,Parental Bond,,,2.2,100,Brown,Monster,,,Mega,Kangaskhan
horsea,116,Horsea,Water,,30,40,70,70,25,60,Swift Swim,Sniper,Damp,0.4,8,Blue,Water 1; Dragon,,,,
seadra,117,Seadra,Water,,55,65,95,95,45,85,Poison Point,Sniper,Damp,1.2,25,Blue,Water 1; Dragon,,,,
goldeen,118,Goldeen,Water,,45,67,60,35,50,63,Swift Swim,Water Veil,Lightning Rod,0.6,15,Red,Water 2,,,,
